id_poste,id_entreprise,titre,description,skills,annee_experience,salaire_min,salaire_max,type_contrat,remote_policy,langues,latitude,longitude
167,68,Technical QA – Open Application | Contrôle qualité technique - candidature libre,"(Version française ci-dessous)

  

Thank you for your interest in a career at Larian Studios!

  

As a Technical QA specialist in our open application, you may be contacted when a role opens up that aligns with your skills and experience. These roles typically involve identifying technical issues, developing testing strategies, and working closely with our code teams. You may also contribute to ",,0,,,"{""permanent"": true}",,,,
168,68,Gameplay Scripter – Open Application | Script de gameplay – Open Application,"(Version française ci-dessous)

  

Thank you for your interest in a career at Larian Studios!

  

We’re always looking to connect with talented and passionate developers — especially those with expertise in gameplay scripting. While we may not have an immediate opening at this time, by applying to this listing, you're expressing your interest in being considered for future opportunities at Laria",,0,,,"{""permanent"": true}",,,,
169,68,UI/UX Designer – Open Application | Concepteur d&#39;interface et d&#39;expérience utilisateur - candidature libre,"(Version française ci-dessous)

  

Thank you for your interest in a career at Larian Studios!

  

We’re always looking to connect with talented and passionate developers — especially those with expertise in UI/UX design. While we may not have an immediate opening at this time, by applying to this listing, you're expressing your interest in being considered for future opportunities at Larian Stud",,0,,,"{""permanent"": true}",,,,
170,68,Engine Programmer,"With multiple awards to our name, Larian Studios has proven that we’re dedicated to delivering high-quality role-playing games As we move on to new projects, the studio that brought you Baldur’s Gate 3 & Divinity: Original Sin 2 is looking for an Engine Programmer to join the team and help us in crafting the high calibre games our fans have come to expect.

\\n

  

**Responsibilities**

*   Work ","[{'name': 'C++', 'value': 50.0}]",3,,,"{""permanent"": true}",,,,
171,69,[REPLACE: role title],"\[REPLACE: full HTML-allowed job description, 200+ words\]",,5,,,"{""permanent"": true}",2.0,,,
172,70,Stagiaire Product Manager &amp; Marketing,"**🌰** **Skello en bref**

  

Chez Skello, on développe la solution RH de référence pour planifier et manager les équipes de terrain.

  

En Europe, les équipes de terrain représentent 50 % des travailleurs, mais seulement 20 % des solutions digitales leur sont réellement adressées.

  

Skello est né pour combler ce manque : une plateforme collaborative et intuitive qui simplifie le quotidien d","[{'name': 'Anglais', 'value': 50.0}, {'name': 'Vite', 'value': 50.0}]",0,,,{},,,,
173,71,Solution Operations Manager - Paris,"**About Mistral** 

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether","[{'name': 'Management', 'value': 50.0}, {'name': 'Make', 'value': 50.0}]",3,,,"{""permanent"": true}",,,,
174,71,"Research Platform Engineer, DevOps","**About Mistral** 

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether","[{'name': 'Make', 'value': 50.0}, {'name': 'Python', 'value': 50.0}, {'name': 'Go', 'value': 50.0}, {'name': 'Management', 'value': 50.0}]",5,,,"{""permanent"": true}",2.0,,,
175,71,"Open-Source Software, Machine Learning Engineer","**About Mistral** 

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether","[{'name': 'Machine Learning', 'value': 50.0}, {'name': 'Pytorch', 'value': 50.0}, {'name': 'Github', 'value': 50.0}, {'name': 'Go', 'value': 50.0}, {'name': 'Make', 'value': 50.0}, {'name': 'Python', 'value': 50.0}, {'name': 'TensorFlow', 'value': 50.0}]",0,,,"{""permanent"": true}",2.0,,,
176,71,"Applied AI, Forward Deployed Machine Learning Engineer- Singapore","**About Mistral**

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether ","[{'name': 'Machine Learning', 'value': 50.0}, {'name': 'Deep learning', 'value': 50.0}, {'name': 'LangChain', 'value': 50.0}, {'name': 'Make', 'value': 50.0}, {'name': 'NLP ', 'value': 50.0}, {'name': 'Python', 'value': 50.0}, {'name': 'Pytorch', 'value': 50.0}]",2,,,"{""permanent"": true}",,,,
